L,M,t
32,eigd,5.701415300369263
32,eigd_intel,2.4974429607391357
32,nagai,25.386698246002197
34,cheb,47.584277868270874
34,cheb_intel,25.643224000930786
34,cheb,27.406249046325684
34,diag,8.162017583847046
34,eigd,4.244075298309326
34,eigd,6.9701032638549805
34,eigd_intel,2.9422409534454346
34,nagai,26.128352642059326
36,cheb,48.71079659461975
36,cheb_intel,31.294272661209106
36,cheb,36.858325481414795
36,diag,11.546095848083496
36,eigd,6.228883743286133
36,eigd,7.12180757522583
36,eigd_intel,3.7651970386505127
36,nagai,37.4911949634552
38,cheb,51.31218767166138
38,cheb_intel,38.591456174850464
38,cheb,46.09819269180298
38,diag,15.664989471435547
38,eigd,13.60065245628357
38,eigd,8.940198183059692
38,eigd_intel,4.48982310295105
38,nagai,47.190200090408325
40,cheb,57.120028018951416
40,cheb_intel,46.66296076774597
40,cheb,53.168774366378784
40,diag,21.52650809288025
40,eigd,12.594394445419312
40,eigd,13.687113285064697
40,eigd_intel,6.853192090988159
40,nagai,57.939921140670776
42,cheb,60.24125909805298
42,cheb_intel,57.347928524017334
42,cheb,57.110713958740234
42,diag,28.123916149139404
42,eigd,17.17618989944458
42,eigd,18.16485857963562
42,eigd_intel,7.8345184326171875
42,nagai,61.46694898605347
44,cheb,76.50101733207703
44,cheb_intel,69.04164695739746
44,cheb,71.85089302062988
44,diag,37.07106566429138
44,eigd,23.245161533355713
44,eigd,25.19069266319275
44,eigd_intel,9.376085042953491
44,nagai,71.18812036514282
46,cheb,81.56120109558105
46,cheb_intel,80.87978792190552
46,cheb,83.0433886051178
46,diag,48.76358485221863
46,eigd,30.646526098251343
46,eigd,33.52681064605713
46,eigd_intel,11.700049638748169
46,nagai,83.50176000595093
48,cheb,103.17846894264221
48,cheb_intel,92.29050135612488
48,cheb,88.61613297462463
48,diag,63.029104232788086
48,eigd,40.01962733268738
48,eigd,40.14910435676575
48,eigd_intel,14.546942949295044
48,nagai,103.11237525939941
50,cheb,124.4693534374237
50,cheb_intel,107.68956542015076
50,cheb,103.90340638160706
50,diag,80.32465028762817
50,eigd,39.63130784034729
50,eigd,50.85141658782959
50,eigd_intel,16.407886743545532
50,nagai,110.19470691680908
52,cheb,178.13736057281494
52,cheb,149.28816390037537
52,diag,98.17719745635986
52,eigd,64.37468218803406
52,eigd,64.84131479263306
52,eigd_intel,19.507574796676636
52,nagai,153.1929543018341
54,cheb,181.69791340827942
54,cheb,151.46437287330627
54,diag,121.5217547416687
54,eigd,77.22044229507446
54,eigd,80.46450996398926
54,eigd_intel,23.469013452529907
54,nagai,168.02796983718872
56,cheb,198.22955012321472
56,cheb,162.10067582130432
56,diag,160.7462465763092
56,eigd,100.00541114807129
56,eigd,93.8168466091156
56,eigd_intel,28.628601789474487
56,nagai,179.85913276672363
58,cheb,227.79685807228088
58,cheb,183.65765619277954
58,diag,194.68197560310364
58,eigd,122.47503280639648
58,eigd,125.95903897285461
58,eigd_intel,35.17030930519104
58,nagai,202.20090436935425
60,cheb,257.1612825393677
60,cheb,197.90193557739258
60,diag,235.53839492797852
60,eigd,143.58299374580383
60,eigd,150.06057739257812
60,eigd_intel,41.655686378479004
60,nagai,231.14021921157837
62,cheb,296.25558710098267
62,cheb,249.8809037208557
62,diag,306.45354175567627
62,eigd,175.5550513267517
62,eigd,181.71116614341736
62,eigd_intel,47.32220983505249
62,nagai,275.9761166572571
64,cheb,336.3232638835907
64,cheb,250.51171946525574
64,diag,361.1979444026947
64,eigd,225.14722728729248
64,eigd,226.6228950023651
64,eigd_intel,58.67117357254028
64,nagai,297.5113878250122
66,cheb,381.8036186695099
