diag,L_SC,L_NM,L_AM,m,φ,J1x,J1y,J2x,J2y
False,20,3,6,0.05,0.34,1.3553152104108857,1.6457942634911509e-18,1.3553152104108857,9.992362997150445e-17
False,20,3,6,0.05,0.36,1.428132936156235,-2.7433846619382847e-18,1.428132936156235,9.009262671782856e-17
False,20,3,6,0.05,0.38,1.4982043511633865,-1.2549128997260842e-18,1.4982043511633867,8.96324924195087e-17
False,20,3,6,0.05,0.4,1.5645917831899294,-5.0984482007560195e-18,1.5645917831899294,1.3834512487858073e-16
False,20,3,6,0.05,0.42,1.6260757619237003,-3.677790125444102e-17,1.6260757619237003,1.0994847144068437e-16
False,20,3,6,0.05,0.44,1.6811405496460665,6.4790809408217754e-18,1.6811405496460665,1.433055265939629e-16
False,20,3,6,0.05,0.46,1.7280339817103523,-9.01071489208113e-19,1.728033981710352,1.1556978822961448e-16
False,20,3,6,0.05,0.48,1.7649247425288659,-4.302688593975731e-18,1.7649247425288659,1.2693797159528688e-16
False,20,3,6,0.05,0.5,1.7901330216644333,-1.744283181142906e-17,1.7901330216644338,1.1661699191424867e-16
False,20,3,6,0.05,0.52,1.8023631219098175,-8.951317315006575e-19,1.802363121909817,1.4448999200998693e-16
False,20,3,6,0.05,0.54,1.8008648985650326,5.88523338674709e-17,1.8008648985650326,1.4078260341342107e-16
False,20,3,6,0.05,0.56,1.7855089309128442,4.8040602155007555e-18,1.785508930912844,1.514231551780547e-16
False,20,3,6,0.05,0.58,1.7568283606688153,-5.0722175250897166e-17,1.7568283606688153,1.32851046830757e-16
False,20,3,6,0.05,0.6,1.7160802104444104,1.4383284619317112e-17,1.7160802104444106,1.5057738285802156e-16
False,20,3,6,0.05,0.62,1.665288879913899,-8.035186927594334e-18,1.665288879913899,1.2116250558659645e-16
False,20,3,6,0.05,0.64,1.6071335084048908,-6.287446214078873e-17,1.6071335084048908,1.673212977501128e-16
False,20,3,6,0.05,0.66,1.5445485472912241,-4.621151307884713e-17,1.5445485472912241,1.6210490712842525e-16
False,20,3,6,0.05,0.68,1.48006470107285,-2.068949172547385e-18,1.48006470107285,9.333842993936083e-17
False,20,3,6,0.05,0.7000000000000001,1.4151300597642602,1.6498730595695698e-17,1.4151300597642602,1.4388062897810622e-16
False,20,3,6,0.05,0.72,1.349750732850754,1.439525310038351e-17,1.3497507328507539,1.2440522459325386e-16
False,20,3,6,0.05,0.74,1.282670908533267,3.0685861649489817e-18,1.2826709085332673,1.1317280466342686e-16
False,20,3,6,0.05,0.76,1.2120257530604124,1.81611304483714e-17,1.2120257530604124,1.129367011669065e-16
False,20,3,6,0.05,0.78,1.1361325864234293,-1.2671626884401152e-17,1.136132586423429,9.986137935798499e-17
False,20,3,6,0.05,0.8,1.0540226485511557,1.534758293414356e-17,1.0540226485511557,1.0589281544486247e-16
False,20,3,6,0.05,0.8200000000000001,0.9655024351938457,1.0336153669280864e-17,0.9655024351938457,6.651477501700014e-17
False,20,3,6,0.05,0.84,0.8708429201951364,2.8171135191263326e-18,0.8708429201951362,4.594573187792169e-17
False,20,3,6,0.05,0.86,0.7704269229472797,2.3549388497372815e-17,0.7704269229472797,6.750567963181778e-17
False,20,3,6,0.05,0.88,0.6646910171540551,5.624943029924611e-18,0.6646910171540551,5.176138871533769e-17
False,20,3,6,0.05,0.9,0.5544485355694246,2.5777492318868068e-17,0.5544485355694246,9.803804243799683e-18
False,20,3,6,0.05,0.92,0.441298662405124,4.4205459059119145e-17,0.441298662405124,2.3999275398714546e-17
False,20,3,6,0.05,0.9400000000000001,0.3275986495243459,2.046737054178762e-17,0.32759864952434586,2.993132328345914e-17
False,20,3,6,0.05,0.96,0.21569504569646286,1.1651003258431594e-17,0.21569504569646286,6.775258867757978e-18
False,20,3,6,0.05,0.98,0.10674527643775947,3.0459555750492398e-18,0.10674527643775947,1.1044357573095926e-17
False,20,3,6,0.05,1.0,2.072277298129447e-16,9.046910635751562e-33,2.072277298129447e-16,1.1006249462914376e-32
False,20,3,8,0.05,0.0,0.0,0.0,0.0,0.0
False,20,3,8,0.05,0.02,0.07215513145430527,5.366284763342316e-19,0.07215513145430526,4.228529213207671e-18
False,20,3,8,0.05,0.04,0.14410888748184986,-3.53638624253971e-18,0.14410888748184986,8.282342550134771e-18
False,20,3,8,0.05,0.06,0.21565502447030802,-5.55452620797177e-18,0.215655024470308,1.2245059756515708e-17
False,20,3,8,0.05,0.08,0.28657909021132794,-3.779195159115633e-18,0.28657909021132794,1.522263808994194e-17
False,20,3,8,0.05,0.1,0.3566576310527519,-4.912574017338035e-18,0.3566576310527519,2.482924547743989e-17
False,20,3,8,0.05,0.12,0.4256599785831208,-1.2675844805075667e-17,0.4256599785831208,3.0315200216031704e-17
False,20,3,8,0.05,0.14,0.4933510824050312,-1.6386929430626848e-17,0.4933510824050312,2.9262319921278524e-17
False,20,3,8,0.05,0.16,0.5594915877858098,-9.413767912911827e-18,0.5594915877858098,3.1719023961548666e-17
False,20,3,8,0.05,0.18,0.6238288775630288,-1.554799126444746e-18,0.6238288775630288,3.808758369086587e-17
False,20,3,8,0.05,0.2,0.6860720268089994,-9.522116028050463e-18,0.6860720268089995,4.7755939484309605e-17
False,20,3,8,0.05,0.22,0.7458478076035335,6.955278464373716e-18,0.7458478076035334,3.35158056183191e-17
False,20,3,8,0.05,0.24,0.8026464929482802,-1.4032814226158497e-17,0.8026464929482802,5.0014084384316973e-17
